STRUCTURE_NUMBER_008,BridgeCondition,SimpleOwner
000000000001799,F,PennDOT
000000000001802,G,PennDOT
000000000001805,F,PennDOT
000000000001808,F,PennDOT
000000000001823,P,PennDOT
000000000001824,F,PennDOT
000000000001825,F,PennDOT
000000000001826,F,PennDOT
000000000001828,G,PennDOT
000000000001833,F,PennDOT
000000000001837,F,PennDOT
000000000001841,F,PennDOT
000000000001843,G,PennDOT
000000000001845,P,PennDOT
000000000001848,G,PennDOT
000000000001849,G,PennDOT
000000000001850,G,PennDOT
000000000001853,F,PennDOT
000000000001861,F,PennDOT
000000000001864,F,PennDOT
000000000001868,F,PennDOT
000000000001870,F,PennDOT
000000000001872,F,PennDOT
000000000001873,F,PennDOT
000000000001876,F,PennDOT
000000000001878,G,PennDOT
000000000001879,F,PennDOT
000000000001883,F,PennDOT
000000000001890,G,PennDOT
000000000001891,G,PennDOT
000000000001896,G,PennDOT
000000000001899,F,PennDOT
000000000001902,F,PennDOT
000000000001904,F,PennDOT
000000000001910,F,PennDOT
000000000001914,F,PennDOT
000000000001915,G,PennDOT
000000000001916,G,PennDOT
000000000001920,F,PennDOT
000000000001921,F,PennDOT
000000000001922,G,PennDOT
000000000001923,F,PennDOT
000000000001924,F,PennDOT
000000000001925,F,PennDOT
000000000001926,G,PennDOT
000000000001927,G,PennDOT
000000000001928,G,PennDOT
000000000001929,F,PennDOT
000000000001930,F,PennDOT
000000000001932,G,PennDOT
000000000001937,F,PennDOT
000000000001943,F,PennDOT
000000000001947,F,PennDOT
000000000001948,F,PennDOT
000000000001949,F,PennDOT
000000000001952,F,PennDOT
000000000001953,F,PennDOT
000000000001954,G,PennDOT
000000000001955,F,PennDOT
000000000001957,F,PennDOT
000000000001958,F,PennDOT
000000000001959,G,PennDOT
000000000001961,F,PennDOT
000000000001962,F,PennDOT
000000000001963,F,PennDOT
000000000001964,F,PennDOT
000000000001966,F,PennDOT
000000000001967,F,PennDOT
000000000001968,F,PennDOT
000000000001970,F,PennDOT
000000000001971,F,PennDOT
000000000001975,F,PennDOT
000000000001977,F,PennDOT
000000000001979,G,PennDOT
000000000001984,F,PennDOT
000000000001985,F,PennDOT
000000000001988,G,PennDOT
000000000001989,F,PennDOT
000000000001990,F,PennDOT
000000000001992,F,PennDOT
000000000001994,F,PennDOT
000000000001997,G,PennDOT
000000000002002,F,PennDOT
000000000002013,F,PennDOT
000000000002015,F,PennDOT
000000000002016,F,PennDOT
000000000002017,F,PennDOT
000000000002018,P,PennDOT
000000000002019,F,PennDOT
000000000002020,F,PennDOT
000000000002023,F,PennDOT
000000000002024,G,PennDOT
000000000002025,F,PennDOT
000000000002026,F,PennDOT
000000000002027,F,PennDOT
000000000002030,F,PennDOT
000000000002032,G,PennDOT
000000000002043,F,PennDOT
000000000002044,F,PennDOT
000000000002062,F,PennDOT
000000000002113,P,Municipal
000000000002114,F,County
000000000002119,F,Municipal
000000000002120,F,County
000000000002129,P,County
000000000002130,F,Municipal
000000000002132,P,Municipal
000000000002133,P,Municipal
000000000002134,F,Municipal
000000000002135,F,County
000000000002144,F,County
000000000002151,F,Municipal
000000000002154,F,Municipal
000000000002155,F,Municipal
000000000002156,F,Municipal
000000000002160,F,County
000000000002161,F,County
000000000002162,F,County
000000000002163,F,County
000000000002168,F,County
000000000002172,P,County
000000000002173,F,County
000000000002174,F,County
000000000002178,F,County
000000000002179,P,County
000000000002180,G,County
000000000002191,F,County
000000000002192,P,County
000000000002201,F,Municipal
000000000002202,P,County
000000000002203,F,County
000000000002204,P,County
000000000002205,G,County
000000000002206,F,County
000000000002208,G,County
000000000002218,F,Municipal
000000000002219,G,County
000000000002221,F,Municipal
000000000002223,F,Municipal
000000000002224,F,Municipal
000000000002225,F,Municipal
000000000002227,F,County
000000000002228,F,County
000000000002230,F,County
000000000002231,G,County
000000000002232,P,County
000000000002235,P,County
000000000002236,G,County
000000000002237,G,County
000000000002241,F,County
000000000002242,F,County
000000000002245,F,Municipal
000000000002247,P,County
000000000002248,P,County
000000000002249,F,County
000000000002250,F,County
000000000002251,F,County
000000000002252,G,County
000000000002253,F,County
000000000002256,F,Municipal
000000000002257,F,County
000000000002258,P,County
000000000002259,P,County
000000000002278,F,Municipal
000000000002279,P,County
000000000002281,G,County
000000000002282,G,County
000000000002283,G,County
000000000002286,F,County
000000000002288,F,County
000000000002289,F,County
000000000002293,G,County
000000000002295,F,County
000000000002296,F,County
000000000002303,P,Municipal
000000000002304,F,Municipal
000000000002306,F,Municipal
000000000002308,P,County
000000000002309,F,County
000000000002310,P,County
000000000002315,F,County
000000000002316,G,Municipal
000000000002317,G,County
000000000002318,F,County
000000000002323,F,Municipal
000000000002324,F,County
000000000002325,F,County
000000000002327,F,County
000000000002330,G,County
000000000002332,F,Municipal
000000000002334,G,County
000000000002335,F,County
000000000002338,P,Municipal
000000000002339,P,Municipal
000000000002340,P,Municipal
000000000002341,P,County
000000000002345,F,County
000000000002346,F,County
000000000002347,F,County
000000000002354,F,Municipal
000000000002355,F,Municipal
000000000002360,F,County
000000000002365,F,County
000000000002367,F,County
000000000002370,F,County
